,index,mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv
4344,64692,gdb_64693,OC1(CC#C)CC1C#N,4.8464,0.88341,0.84237,5.3318,76.43,-0.2769,0.0129,0.2898,1347.8339,0.121726,-400.711488,-400.702295,-400.701351,-400.7456,33.802
4345,121517,gdb_121518,CCCCC#CC(=O)C,5.33197,0.46326,0.4319,3.5854,92.07,-0.2512,-0.0428,0.2084,2551.1183,0.179061,-387.095795,-387.084465,-387.083521,-387.135218,38.295
4346,90023,gdb_90024,CC1CC2(C1)OCC2C,2.66506,1.30344,1.06153,1.5889,85.25,-0.2349,0.0716,0.3065,1259.713,0.204968,-388.274379,-388.264961,-388.264017,-388.30892,35.938
4347,97915,gdb_97916,CCC#CCC(O)CC,4.43791,0.55173,0.51502,1.2329,92.41,-0.238,0.0548,0.2928,2253.8118,0.202631,-388.275787,-388.26402,-388.263075,-388.315611,40.923
4348,42241,gdb_42242,O=C(C#N)C1CC(=O)O1,2.96693,1.27021,1.01754,3.9307,60.44,-0.3087,-0.1133,0.1954,1097.7449,0.076047,-472.654734,-472.646781,-472.645837,-472.688573,27.199
4349,53177,gdb_53178,CC#CC1C2OC2C1C,3.00735,1.04242,0.91917,1.5166,84.35,-0.2362,0.0493,0.2855,1367.7905,0.157117,-385.82989,-385.820362,-385.819418,-385.866632,33.928
4350,24461,gdb_24462,c1coc2c1COCO2,3.67706,1.61882,1.15967,1.7763,66.41,-0.2013,0.0271,0.2283,987.3713,0.115614,-457.782005,-457.775486,-457.774542,-457.812955,25.623
4351,121248,gdb_121249,COCC1OCC1OC,2.92262,0.90743,0.74385,2.7173,76.69,-0.2445,0.069,0.3135,1590.3058,0.180008,-461.311997,-461.301682,-461.300738,-461.348617,35.352
4352,60544,gdb_60545,CC(N1CC1)C1(O)CC1,2.61699,1.24436,1.07584,2.3336,82.63,-0.2358,0.0768,0.3126,1251.216,0.192684,-404.303554,-404.294018,-404.293073,-404.337582,36.844
4353,98552,gdb_98553,COC(=O)C12CCC1O2,3.7074,1.15327,0.96312,3.1007,70.49,-0.264,-0.008,0.256,1234.3758,0.134436,-458.952395,-458.943728,-458.942784,-458.986564,30.946
4354,61061,gdb_61062,CC(C=O)C1CCC=C1,2.86506,1.1076,0.84386,2.8764,85.0,-0.2414,-0.0198,0.2217,1388.8818,0.181927,-387.116239,-387.106913,-387.105969,-387.151156,34.248
4355,49847,gdb_49848,N=C1NC(C=O)C2OC12,2.86821,1.50768,1.17068,3.8371,67.42,-0.2439,-0.0427,0.2012,1030.3284,0.112965,-453.937957,-453.93041,-453.929466,-453.970346,28.123
4356,37674,gdb_37675,C1C2C3C4C5C(C5N14)N23,3.0896,2.50713,2.12698,0.3476,72.19,-0.2031,0.0749,0.278,744.8019,0.140983,-380.807943,-380.802801,-380.801857,-380.837056,23.371
4357,568,gdb_569,OCC1CCO1,8.09856,2.57394,2.18192,2.5785,49.25,-0.2475,0.0698,0.3174,592.6958,0.120269,-307.541973,-307.535777,-307.534833,-307.572115,21.686
4358,5212,gdb_5213,CC#Cc1ccoc1,8.87961,0.97763,0.88554,0.8142,76.07,-0.2137,0.0006,0.2142,1256.756,0.10729,-345.412567,-345.404944,-345.404,-345.446802,26.551
4359,35711,gdb_35712,N#CC1CCC1C1CC1,2.41611,1.28264,0.95977,3.9547,83.44,-0.2794,0.0321,0.3116,1282.5525,0.17193,-366.006943,-365.998245,-365.997301,-366.040965,32.596
4360,129925,gdb_129926,c1c(c(n[nH]1)C2CC2)N,2.92019,1.34192,0.98886,2.5908,79.5,-0.1922,0.031,0.2232,1202.2713,0.150022,-398.131167,-398.12267,-398.121726,-398.165397,31.931
4361,114843,gdb_114844,OCC1CC2CCC1C2,2.99877,1.21999,1.15223,1.2537,83.96,-0.261,0.0776,0.3386,1203.81,0.209609,-388.310003,-388.301852,-388.300908,-388.342636,32.946
4362,51103,gdb_51104,O=CCC12CC1C(=O)O2,4.63739,0.93079,0.8525,2.6585,66.66,-0.2633,-0.0407,0.2226,1296.7115,0.110483,-457.766519,-457.758376,-457.757432,-457.800595,29.049
4363,33746,gdb_33747,C#CC12CC(C1)C21CN1,2.37913,1.6852,1.27387,1.141,83.82,-0.2411,0.0334,0.2745,1049.7347,0.147852,-364.696612,-364.688842,-364.687898,-364.728606,31.272
4364,25390,gdb_25391,c1cc(oc(=O)c1)C=O,3.02061,1.40539,0.95913,6.0123,73.33,-0.2576,-0.1035,0.1541,1118.3294,0.089336,-456.62888,-456.621667,-456.620723,-456.66103,26.373
4365,39094,gdb_39095,C1C2CCC11OCCC21,3.26193,1.65623,1.41286,1.354,80.65,-0.238,0.0819,0.3198,999.634,0.186859,-387.079424,-387.072547,-387.071603,-387.110503,29.181
4366,23208,gdb_23209,CC1CC(=NO)C11CO1,2.51625,1.30497,0.9473,1.9388,77.44,-0.245,-0.0121,0.233,1251.2998,0.145356,-439.010268,-439.001286,-439.000342,-439.044148,33.405
4367,123449,gdb_123450,C(C1CN1)N1N=CN=N1,3.86389,1.22573,1.14447,1.37,69.3,-0.2541,-0.0349,0.2191,1085.7216,0.127303,-430.199552,-430.192162,-430.191218,-430.232501,26.722
4368,76164,gdb_76165,CC1(O)C(O)C1(C)C#N,2.11791,1.44699,1.20544,4.7209,73.79,-0.2588,0.0361,0.2949,1129.2257,0.144153,-439.081895,-439.07172,-439.070776,-439.116164,37.274
4369,75857,gdb_75858,OC1C(=N)NC=C1C#C,3.46882,1.26368,0.95555,3.7742,81.27,-0.2079,-0.0294,0.1785,1165.201,0.11211,-416.788188,-416.779712,-416.778768,-416.821265,31.918
4370,25019,gdb_25020,N=C1NC=C(O1)N1CC1,4.11284,1.16457,0.97677,2.3821,75.06,-0.1875,0.0304,0.2178,1187.3958,0.124992,-434.054374,-434.046323,-434.045378,-434.087654,29.888
4371,81006,gdb_81007,CC1C2OC1(C)CC2C,2.50306,1.48616,1.2053,1.5471,85.0,-0.2381,0.0904,0.3285,1180.8655,0.205498,-388.290945,-388.281839,-388.280895,-388.323861,36.193
4372,7047,gdb_7048,CC#CC(C)CC#C,5.76824,0.83757,0.75692,0.8357,83.51,-0.2449,0.045,0.2899,1503.3938,0.150288,-310.619798,-310.60972,-310.608776,-310.656303,34.779
4373,91775,gdb_91776,OC1CC2OC1CCO2,2.42414,1.81544,1.60578,2.5546,68.87,-0.2492,0.062,0.3111,940.0112,0.162519,-460.173266,-460.166042,-460.165097,-460.204562,29.613
4374,19803,gdb_19804,O=C1CC2C1C1CN21,4.15786,2.01457,1.8093,1.2118,63.76,-0.2339,-0.0325,0.2014,758.0921,0.11939,-362.600722,-362.594552,-362.593608,-362.630918,24.586
4375,12489,gdb_12490,C1CNCC(=O)OC1,3.34955,1.90034,1.35607,4.307,64.18,-0.2285,0.0131,0.2417,910.3161,0.144424,-401.019613,-401.012227,-401.011283,-401.051547,27.644
4376,343,gdb_344,CN=C(C=O)N,9.49914,2.31209,1.88308,2.7489,50.95,-0.2476,-0.0605,0.187,629.4902,0.095327,-302.564379,-302.557593,-302.556649,-302.594563,23.292
4377,62116,gdb_62117,CC(OCC=O)C1CC1,3.48179,0.73409,0.63596,3.0673,80.42,-0.2536,-0.0254,0.2282,1759.3852,0.178865,-424.211688,-424.201265,-424.20032,-424.24878,36.435
4378,121604,gdb_121605,C(CO)NC(=O)C(=N)N,3.18198,0.88515,0.77079,2.5431,71.64,-0.243,-0.025,0.218,1492.6139,0.147653,-472.443676,-472.433561,-472.432617,-472.480282,35.755
4379,16623,gdb_16624,CC1C2CC2CC1=O,2.94966,2.26543,1.51124,2.7443,70.63,-0.2381,-0.0157,0.2224,875.5479,0.154467,-347.831664,-347.824312,-347.823367,-347.863145,28.563
4380,41383,gdb_41384,C1CC23COC2CC=C13,2.66912,1.90387,1.34026,2.0313,81.55,-0.2292,0.0142,0.2434,991.8522,0.161228,-385.852347,-385.845245,-385.844301,-385.883664,28.837
4381,26011,gdb_26012,c1c(nc[nH]1)CC(=O)N,4.30191,1.01318,0.87543,5.9892,71.39,-0.2192,0.0183,0.2375,1273.8212,0.126888,-434.145818,-434.137776,-434.136832,-434.179386,29.933
4382,109928,gdb_109929,CCC1C(O)CC1(C)C,2.12162,1.27333,1.00055,1.462,88.34,-0.2512,0.064,0.3152,1367.2171,0.227258,-389.491712,-389.481103,-389.480158,-389.526391,40.962
4383,117308,gdb_117309,CCOC(=O)NC(=O)C,4.47453,0.74692,0.64784,5.0626,72.07,-0.2534,-0.0073,0.2461,1727.3985,0.144877,-476.301443,-476.290956,-476.290012,-476.339041,35.078
4384,31668,gdb_31669,CCc1cc(c[nH]1)C=O,5.46533,0.81633,0.75177,5.075,84.09,-0.2168,-0.0267,0.1901,1518.4908,0.148327,-402.011679,-402.002879,-402.001935,-402.045867,32.005
4385,119462,gdb_119463,CCCC12CC(O)C1O2,4.89367,0.78836,0.76228,2.2257,79.04,-0.2463,0.0799,0.3262,1584.1738,0.18109,-424.196657,-424.18723,-424.186286,-424.231414,35.223
4386,93297,gdb_93298,CN1CCC(=O)C12CC2,2.11709,1.86735,1.27561,2.3556,79.3,-0.2104,-0.015,0.1954,1071.0865,0.171097,-403.153287,-403.144748,-403.143804,-403.186247,33.036
4387,65741,gdb_65742,CC1(CC=O)CCC1=O,2.7721,1.14188,1.00083,3.977,76.2,-0.2449,-0.0321,0.2128,1252.6117,0.156034,-423.047953,-423.03829,-423.037346,-423.083346,34.453
4388,120803,gdb_120804,COCC1OC1CC#N,5.16733,0.63931,0.60793,5.285,74.47,-0.2708,0.0246,0.2953,1808.3414,0.145217,-439.059486,-439.049629,-439.048685,-439.095969,33.483
4389,67597,gdb_67598,CC12C3OC4C(OC13)C24,2.8468,1.9119,1.8164,2.0241,68.93,-0.2017,0.0836,0.2853,861.3128,0.13772,-421.792121,-421.785641,-421.784697,-421.822645,26.932
4390,16025,gdb_16026,C1OC11CCCOC1,3.79287,1.83766,1.47136,2.5377,67.6,-0.2443,0.0809,0.3253,892.8262,0.155417,-384.927212,-384.920237,-384.919293,-384.958206,27.41
4391,63663,gdb_63664,CC1(C)CC1NCC#N,4.23564,0.7162,0.67563,4.3803,85.01,-0.2331,0.0249,0.258,1709.3782,0.180991,-383.262465,-383.252193,-383.251249,-383.298211,37.313
4392,21193,gdb_21194,CNc1[nH]nc(n1)O,6.91471,1.32029,1.12152,4.7579,59.84,-0.2052,0.0439,0.2492,1007.2469,0.109238,-412.064901,-412.057281,-412.056337,-412.096765,27.446
4393,71325,gdb_71326,CC12CN3C1C(O2)C3=O,3.81873,1.55083,1.38865,4.0693,68.6,-0.2345,-0.0256,0.2089,943.7446,0.124359,-437.839646,-437.832571,-437.831626,-437.870915,27.801
4394,76450,gdb_76451,CC1C(C)C1(C=O)C#C,2.14433,1.31932,1.20235,2.0865,84.51,-0.248,-0.0294,0.2186,1188.8487,0.155566,-385.862894,-385.852852,-385.851908,-385.897167,36.991
4395,29017,gdb_29018,c1cc(c(nc1)C=O)O,3.11058,1.52749,1.02443,4.9922,75.09,-0.2432,-0.0664,0.1768,1071.0689,0.102143,-436.751875,-436.744595,-436.74365,-436.783769,27.373
4396,6937,gdb_6938,COCC1CC1(C)C,4.5736,0.97436,0.91632,1.038,80.31,-0.2479,0.0858,0.3337,1387.0003,0.197918,-350.187989,-350.178066,-350.177122,-350.222749,35.838
4397,55552,gdb_55553,NC(=O)NC(=N)C1CO1,3.33772,1.09355,0.86449,3.1912,68.62,-0.254,-0.0026,0.2514,1285.934,0.124812,-471.226176,-471.217334,-471.21639,-471.260491,32.003
4398,67873,gdb_67874,CC12C=CCC1CC=C2,2.2876,1.87117,1.40374,0.1921,87.85,-0.23,0.0166,0.2465,1038.7381,0.184541,-349.985474,-349.97757,-349.976626,-350.017774,31.952
4399,38827,gdb_38828,C1N2CC3OC=NCC123,3.14004,1.83313,1.3317,2.6358,72.21,-0.2369,0.0265,0.2634,944.82,0.138729,-417.967807,-417.961014,-417.960069,-417.999031,27.025
4400,108874,gdb_108875,OCC1=CC(O)CCC1,2.35161,1.19891,0.83558,3.1808,81.51,-0.2312,0.021,0.2522,1394.5077,0.182981,-424.237697,-424.22833,-424.227386,-424.271874,35.361
4401,50703,gdb_50704,O=CC1OCCC2NC12,3.05401,1.39384,1.06378,3.4243,71.78,-0.2427,-0.024,0.2188,1124.9627,0.148494,-439.066645,-439.058649,-439.057704,-439.099936,29.866
4402,39552,gdb_39553,C1C=CC2C3C=CC1N23,2.76297,2.12063,1.68654,1.4037,79.99,-0.207,0.0097,0.2166,872.4109,0.15143,-364.8043,-364.797976,-364.797032,-364.834551,26.989
4403,113021,gdb_113022,OCC1CN(C=O)C=C1,4.67874,0.85214,0.78724,2.2602,78.02,-0.217,-0.0122,0.2047,1434.6287,0.148322,-439.11162,-439.102817,-439.101873,-439.146076,31.769
4404,93304,gdb_93305,OC1COC(=N)C11CC1,2.10116,1.91694,1.26287,3.8945,73.49,-0.2496,0.0274,0.2769,1038.4518,0.148471,-439.089409,-439.081231,-439.080287,-439.122209,31.405
4405,74480,gdb_74481,CC1=CC2(CC2)CC1=O,3.18319,1.23414,0.96801,3.3965,86.03,-0.2329,-0.037,0.1959,1250.7043,0.158862,-385.92788,-385.919267,-385.918322,-385.961364,32.614
4406,118877,gdb_118878,CCCC1(O)CN2CC12,3.16886,0.98885,0.89833,2.5812,81.64,-0.2275,0.065,0.2925,1420.4402,0.193088,-404.301344,-404.291812,-404.290867,-404.335714,36.258
4407,65858,gdb_65859,OC1(COC(=O)C1)C#C,3.64008,1.11251,1.0864,5.0476,67.3,-0.2674,0.0064,0.2738,1132.239,0.110892,-457.766642,-457.758305,-457.757361,-457.799604,31.24
4408,109749,gdb_109750,C[NH2+]C1C(O)C1C([O-])=O,2.0999,1.43006,1.11331,5.3004,69.21,-0.2488,0.0207,0.2694,1166.7656,0.147069,-476.229083,-476.219872,-476.218928,-476.263403,33.478
4409,113607,gdb_113608,OCC1NC1C#CC#C,3.52937,0.71371,0.62764,1.9773,89.68,-0.2399,-0.0237,0.2162,1717.5342,0.122787,-400.657106,-400.647828,-400.646883,-400.692029,33.579
4410,102077,gdb_102078,CCN(C=O)C(C)C=O,2.3482,1.17733,0.97828,5.566,77.55,-0.2424,-0.015,0.2274,1309.1525,0.168197,-440.322159,-440.311875,-440.310931,-440.357739,36.337
4411,127498,gdb_127499,Cn1c(nc(n1)C#N)O,4.00155,1.16038,0.90468,6.6259,67.97,-0.2626,-0.0384,0.2242,1184.8772,0.090573,-448.967782,-448.959759,-448.958815,-449.001102,27.992
4412,66402,gdb_66403,NC12C(OC1=N)C2C#N,2.35101,1.56702,1.30045,4.48,68.14,-0.2688,-0.014,0.2548,1007.3202,0.101155,-432.836367,-432.828471,-432.827526,-432.868864,29.381
4413,12950,gdb_12951,NC12C(O)C1OC2=N,2.75301,2.25195,1.69204,1.3638,59.07,-0.2471,0.01,0.2572,800.8458,0.107159,-415.810238,-415.802984,-415.80204,-415.841408,27.726
4414,11877,gdb_11878,O=C1CC2(CN2)CN1,4.82365,1.54098,1.31713,3.0892,65.04,-0.2424,0.0332,0.2757,924.2336,0.132709,-379.939838,-379.932815,-379.931871,-379.971337,26.738
4415,82064,gdb_82065,CC(=O)C1C(O)C2CN12,2.54786,1.54776,1.23639,2.1669,71.65,-0.2505,-0.0413,0.2092,1068.9313,0.146837,-439.051544,-439.043022,-439.042078,-439.085097,31.985
4416,38673,gdb_38674,C1N2CC3N=COCC123,3.12478,1.84062,1.3505,2.2513,72.63,-0.2361,0.0227,0.2588,938.8103,0.139005,-417.968121,-417.96137,-417.960426,-417.999204,26.933
4417,16500,gdb_16501,CC12NC1C1CC2O1,3.73879,2.27902,1.94283,1.5191,66.67,-0.2289,0.079,0.3079,759.72,0.143927,-363.796975,-363.79064,-363.789696,-363.826988,26.103
4418,110799,gdb_110800,CCC1C2C(CN12)C#N,4.81013,0.88132,0.8767,4.4984,80.29,-0.2486,0.023,0.2716,1389.5413,0.159797,-382.038044,-382.029379,-382.028435,-382.071747,32.21
4419,73450,gdb_73451,CC12COC3CC1C23C,2.20368,1.86984,1.52874,1.708,81.69,-0.2309,0.0865,0.3175,1020.2939,0.183186,-387.074517,-387.066235,-387.065291,-387.10669,32.887
4420,16797,gdb_16798,CC1=CC(=O)C2OC12,3.74588,1.95639,1.39379,4.0216,64.44,-0.2419,-0.0657,0.1762,861.5665,0.106773,-382.545447,-382.538583,-382.537639,-382.576482,25.563
4421,103589,gdb_103590,CC1(CC(C1)(C)CO)C,2.66224,1.09355,0.94008,1.4271,88.75,-0.256,0.066,0.322,1409.489,0.226571,-389.49121,-389.480445,-389.479501,-389.526629,41.261
4422,106237,gdb_106238,OCC12N=COC1C2O,2.7647,1.45356,1.25341,0.7565,63.69,-0.2399,0.0018,0.2417,1029.3092,0.12404,-474.99603,-474.987771,-474.986826,-475.029075,30.522
4423,22941,gdb_22942,ON=C1COC2CC12O,2.63811,1.51994,1.09181,1.6541,68.61,-0.2344,-0.004,0.2304,1082.6821,0.122554,-474.954285,-474.945799,-474.944854,-474.987488,31.639
4424,72944,gdb_72945,OC12CCC1N1CCC21,2.69819,1.67902,1.44856,2.5323,77.35,-0.2008,0.0649,0.2657,999.5205,0.17194,-403.076339,-403.068587,-403.067642,-403.108366,31.353
4425,23069,gdb_23070,ON=C1C2C3C1CC23O,4.53539,1.12302,1.0489,0.8607,73.03,-0.2227,0.026,0.2487,1134.4132,0.123543,-437.779977,-437.772309,-437.771365,-437.811847,30.412
4426,8968,gdb_8969,C#CCNC(=O)C#C,4.98509,1.02808,0.89863,3.4311,68.81,-0.2616,-0.0314,0.2302,1216.2518,0.092695,-361.413955,-361.405329,-361.404385,-361.448197,30.004
4427,14829,gdb_14830,CN=C1OCC1C=O,4.00838,1.41252,1.17302,1.9211,65.3,-0.257,-0.0382,0.2189,1023.5564,0.117373,-399.796968,-399.788781,-399.787836,-399.830519,27.606
4428,41461,gdb_41462,C1NC23CCN=C2OC13,3.34465,1.7302,1.34083,4.5112,72.75,-0.2249,0.0147,0.2396,956.9953,0.138597,-417.950485,-417.943642,-417.942697,-417.9816,27.384
4429,130522,gdb_130523,c1cncc2c1onn2,4.13932,1.70174,1.20596,1.9525,68.57,-0.2796,-0.0807,0.1988,905.8907,0.080548,-431.690173,-431.684379,-431.683435,-431.720273,22.672
4430,130175,gdb_130176,C1CNc2c1c(n[nH]2)N,3.26007,1.52001,1.05688,2.3357,75.45,-0.1829,0.0558,0.2386,1096.252,0.140605,-414.196943,-414.189177,-414.188232,-414.228952,29.957
4431,66398,gdb_66399,CC12C(OC1=O)C2C#C,2.32766,1.55208,1.29065,4.0046,71.98,-0.2615,-0.0099,0.2516,1040.5561,0.110189,-420.588914,-420.58055,-420.579605,-420.621913,30.873
4432,55912,gdb_55913,CC(=N)OC1CC2OC12,4.07536,1.02555,0.91051,1.2691,73.21,-0.2531,0.0299,0.2829,1305.3823,0.146394,-439.051374,-439.04274,-439.041796,-439.085596,31.536
4433,101824,gdb_101825,COC(C)CCC(C)O,3.00049,0.68572,0.5843,1.8873,86.71,-0.2488,0.0759,0.3247,1992.742,0.225257,-426.627262,-426.615333,-426.614388,-426.665302,42.513
4434,128004,gdb_128005,CN=C1ON=NC(C)=C1,3.95453,1.1432,0.89667,2.5678,80.91,-0.2432,-0.0884,0.1548,1276.4804,0.121575,-434.0291,-434.02012,-434.019176,-434.063448,31.61
4435,76247,gdb_76248,OC1C(O)C(=O)C1C#C,2.77186,1.36507,1.08134,1.8233,68.22,-0.2521,-0.042,0.2101,1101.3776,0.109487,-457.71767,-457.70874,-457.707796,-457.751364,32.697
4436,125762,gdb_125763,Cc1c(c(on1)N)C#N,2.0185,1.9077,0.98719,2.648,71.85,-0.2378,-0.0123,0.2255,1115.8583,0.101098,-432.895819,-432.887407,-432.886463,-432.928858,30.47
4437,90831,gdb_90832,CC1CC2C3C4OC13C24,3.0013,1.8883,1.43685,2.0409,77.89,-0.228,0.0747,0.3027,950.7858,0.160295,-385.785577,-385.778692,-385.777748,-385.816474,28.87
4438,66751,gdb_66752,CC12C3C4C(C3C1=O)N24,2.79334,2.10622,1.52363,3.0256,71.13,-0.2324,-0.0219,0.2105,878.218,0.124504,-400.67557,-400.668686,-400.667742,-400.706665,27.379
4439,128150,gdb_128151,CNc1cn[nH]c1OC,2.08124,1.60432,0.95179,2.5856,75.6,-0.1878,0.035,0.2228,1235.122,0.148764,-435.255776,-435.246579,-435.245635,-435.290305,32.865
4440,65353,gdb_65354,CC1(NC1C1CN1)C#N,4.03163,1.00817,0.91535,2.1701,77.99,-0.2532,0.0101,0.2633,1289.2938,0.148308,-398.091253,-398.082422,-398.081478,-398.12484,32.537
4441,97725,gdb_97726,OCC#CC12CCC1O2,5.24697,0.67744,0.65591,1.7093,81.27,-0.2419,0.0068,0.2487,1719.6129,0.134454,-421.749254,-421.740321,-421.739376,-421.784497,32.08
4442,96917,gdb_96918,CN=C1OC23CN(C2)C13,5.04362,1.13212,1.0942,1.8273,78.18,-0.2398,-0.0118,0.228,1151.3346,0.135096,-417.83197,-417.824226,-417.823282,-417.864417,29.588
4443,34957,gdb_34958,C#CC1C2CC3OC1C23,3.21151,1.54043,1.47471,1.9903,76.92,-0.2369,0.0413,0.2782,956.2988,0.136544,-384.602818,-384.595817,-384.594873,-384.634122,28.425
4444,37218,gdb_37219,C1C2C3OCCN=C3N12,3.51752,1.64343,1.29603,2.0684,72.94,-0.2272,-0.0019,0.2253,974.9051,0.138674,-417.944785,-417.937997,-417.937053,-417.975857,27.074
4445,50004,gdb_50005,O=CN1CC11CC2OC12,4.10805,1.08838,1.04984,3.9019,70.67,-0.252,-0.0024,0.2496,1155.2788,0.123288,-437.827209,-437.819509,-437.818565,-437.859916,28.671
4446,95325,gdb_95326,CC1CCC2CCC2=C1,2.99491,1.30499,1.05736,0.259,92.95,-0.2257,0.029,0.2547,1248.5909,0.208187,-351.16587,-351.157551,-351.156607,-351.198411,33.731
4447,80148,gdb_80149,CC1C2N=COCC12C,2.21988,1.70548,1.45171,2.1482,79.19,-0.2276,0.0225,0.2502,1042.8662,0.171728,-403.153436,-403.144737,-403.143793,-403.18643,32.956
4448,9996,gdb_9997,O=CCC(C=O)C#N,2.53338,1.47654,0.98209,3.3813,60.25,-0.2745,-0.0668,0.2077,1096.6227,0.09212,-398.621487,-398.613016,-398.612072,-398.655973,27.68
4449,50911,gdb_50912,O=CCC(C#C)C1CN1,2.3863,1.10513,0.83497,3.6413,78.46,-0.2501,-0.0323,0.2178,1372.5322,0.145012,-401.88874,-401.879153,-401.878208,-401.924259,34.07
4450,117966,gdb_117967,COCC(C)C(=O)CO,3.62804,0.70939,0.67493,2.5635,76.73,-0.2595,-0.0274,0.2321,1747.6725,0.178933,-461.368144,-461.357066,-461.356122,-461.406008,38.036
4451,89156,gdb_89157,CC1CC2N(C)CC12O,2.27483,1.44334,1.24874,0.9412,82.97,-0.2071,0.073,0.2801,1173.2469,0.192948,-404.307177,-404.297751,-404.296807,-404.340882,36.276
4452,41031,gdb_41032,C1OC23C1CC21CC3O1,3.30629,1.87397,1.54743,1.3192,73.0,-0.216,0.0606,0.2766,885.1654,0.136178,-421.67145,-421.664945,-421.664001,-421.701962,27.177
4453,125025,gdb_125026,Cc1c(c(no1)CO)N,3.02291,1.27197,0.94495,2.9298,72.61,-0.206,-0.0028,0.2032,1225.5549,0.135841,-455.138347,-455.129183,-455.128239,-455.172527,33.15
4454,5614,gdb_5615,CCc1c[nH]cc1N,3.1437,1.78748,1.2424,1.7951,74.86,-0.1749,0.0565,0.2314,1004.142,0.155158,-344.019692,-344.011179,-344.010235,-344.052477,31.768
4455,36986,gdb_36987,C1CC(C1)OCC2CC2,5.09756,0.67397,0.65996,0.8371,87.35,-0.2424,0.0875,0.3299,1819.6808,0.205691,-388.258928,-388.2495,-388.248556,-388.294556,34.993
4456,29372,gdb_29373,Cc1cc([nH]c1)CC#N,5.37655,0.87228,0.78299,2.6404,80.81,-0.2105,0.0246,0.2351,1436.5532,0.136826,-380.931043,-380.922225,-380.921281,-380.965583,31.776
4457,81679,gdb_81680,OC1C2CC1OC(=O)O2,3.8538,1.3479,1.2685,5.1011,60.74,-0.2809,0.0309,0.3118,987.3291,0.11349,-494.917105,-494.910104,-494.90916,-494.94845,27.375
4458,122245,gdb_122246,CCOCC1(CC1)C#C,2.65524,0.92178,0.77137,1.3095,86.57,-0.2407,0.0555,0.2962,1581.3885,0.179402,-387.037605,-387.027228,-387.026283,-387.073758,37.59
4459,126418,gdb_126419,CCc1c(c([nH]n1)C)O,2.93239,1.23768,0.93887,1.1041,79.51,-0.2029,0.0294,0.2323,1292.4025,0.158771,-419.238992,-419.229021,-419.228077,-419.274427,35.299
4460,62310,gdb_62311,OC1(C#N)C2C3NC2C13,3.59173,1.45855,1.19294,3.2575,69.5,-0.2446,0.0105,0.2551,999.2204,0.112949,-416.712112,-416.704925,-416.703981,-416.743646,28.053
4461,50720,gdb_50721,N=C1NCCCN1C=O,2.75497,1.46601,1.04471,6.4183,76.18,-0.2251,0.0054,0.2305,1142.6387,0.150376,-435.300219,-435.29202,-435.291076,-435.333436,30.68
4462,49415,gdb_49416,O=CC1C2C=CC3C2N13,3.16696,1.6916,1.47522,2.1182,71.41,-0.2351,-0.0331,0.202,910.7739,0.124826,-400.700357,-400.693396,-400.692452,-400.732227,26.975
4463,12429,gdb_12430,C1C=CC(=O)OC=N1,3.80699,2.09647,1.42466,2.9288,61.56,-0.2699,-0.0614,0.2084,814.8254,0.09654,-398.628726,-398.622061,-398.621117,-398.660215,23.976
4464,64580,gdb_64581,CC1(C=O)C2CN=CN12,3.99925,1.1912,1.15836,1.4883,73.93,-0.2508,-0.0433,0.2075,1093.034,0.135804,-418.000348,-417.992287,-417.991343,-418.033008,30.029
4465,122175,gdb_122176,COCCC1(C)CC1O,2.92203,0.7775,0.69409,2.1083,83.57,-0.247,0.0818,0.3288,1734.9515,0.202853,-425.398877,-425.387906,-425.386962,-425.435498,39.471
4466,13704,gdb_13705,CN1CC1C#CCO,4.81548,0.90942,0.82326,1.1138,75.57,-0.2284,0.0198,0.2482,1389.718,0.14056,-363.7906,-363.781507,-363.780563,-363.825674,31.569
4467,13772,gdb_13773,CC(O)C1OC1C#N,3.72627,1.45788,1.19441,2.4605,61.73,-0.2859,-0.0097,0.2763,987.1119,0.117079,-399.780591,-399.772271,-399.771327,-399.814074,29.551
4468,61083,gdb_61084,CN(C=NC1CC1)C=O,5.85691,0.65633,0.62155,2.7072,88.04,-0.2331,-0.0125,0.2206,1790.7437,0.158388,-419.223899,-419.214422,-419.213478,-419.258897,33.808
4469,61936,gdb_61937,CC(CC#C)OCC#C,2.13692,0.97998,0.71486,1.5908,83.73,-0.2528,0.0331,0.2859,1584.4049,0.154192,-385.809975,-385.799261,-385.798317,-385.846902,38.074
4470,130609,gdb_130610,c1c(=O)cnoc1C#N,3.71877,1.24574,0.93315,1.2119,68.55,-0.2786,-0.1077,0.1709,1111.3217,0.065898,-451.536752,-451.529772,-451.528828,-451.568603,25.179
4471,77915,gdb_77916,CC1C2C(O)C1(O)C2=O,2.28337,1.44567,1.41749,4.142,69.14,-0.2346,0.0012,0.2358,1041.5414,0.133723,-458.915084,-458.906179,-458.905234,-458.948082,33.54
4472,32491,gdb_32492,c1c(nc([nH]1)C=O)CO,5.18366,0.89031,0.76343,4.8802,74.76,-0.2364,-0.0556,0.1809,1397.1864,0.112848,-453.984443,-453.976028,-453.975084,-454.01833,29.663
4473,53010,gdb_53011,CC#CC12CC1OCC2,4.22397,0.88246,0.82516,1.3056,85.85,-0.2169,0.0553,0.2722,1470.006,0.159123,-385.857863,-385.848901,-385.847957,-385.893272,32.743
